pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
11 Com b,326.03,1.29,1.08,19.4,19.1,19,2.7,2.243,Gas Giant
11 UMi b,516.21997,1.53,1.09,14.74,13.8,29.79,2.78,2.43,Gas Giant
14 And b,185.84,0.83,1.15,4.8,3.9,11,2.2,1.763,Gas Giant
14 Her b,1765.0389,2.774,1.12,8.053,7.03,0.93,0.91,-0.153,Gas Giant
16 Cyg B b,798.5,1.66,1.2,1.78,1.26,1.13,1.08,0.097,Gas Giant
17 Sco b,578.38,1.45,1.15,4.32,3.51,25.92,1.22,2.254,Gas Giant
18 Del b,993.3,2.6,1.11,10.3,9.21,8.5,2.3,1.602,Gas Giant
1RXS J160929.1-210524 b,2376279.98,330,1.664,8,2.54,1.31,0.85,-0.37,Gas Giant
24 Boo b,30.3506,0.19,1.24,0.91,0.592,10.64,0.99,1.774,Gas Giant
24 Sex b,452.8,1.333,1.19,1.99,1.44,4.9,1.54,1.164,Gas Giant
24 Sex c,883,2.08,1.24,0.86,0.559,4.9,1.54,1.164,Gas Giant
2M0437 b,1136146.65,118,1.16,4,3.18,0.84,0.17,-1.164,Gas Giant
2MASS J01033563-5515561 AB b,645469.8,84,1.1,13,12.2,,0.19,,Gas Giant
2MASS J01225093-2439505 b,216666.3,52,1,24.5,30.4,0.37,0.4,-1.72,Gas Giant
2MASS J02192210-3925225 b,2146976.02,156,1.44,13.9,5.77,0.28,0.11,-2.23,Gas Giant
2MASS J04414489+2301513 b,150118,15,1.13,7.5,6.55,0.23,0.02,-2.444,Gas Giant
2MASS J12073346-3932539 b,1054074.98,55,1.15,5,4.07,0.22,0.02,-2.561,Gas Giant
2MASS J19383260+4603591 b,406,0.92,1.2,1.9,1.38,0.2,0.48,1.45,Gas Giant
2MASS J22362452+4751425 b,1645706.93,230,1.1,12.5,11.7,0.64,0.6,-1.021,Gas Giant
30 Ari B b,335.10001,0.99,1.1,13.82,13,1.41,1.93,0.381,Gas Giant
4 UMa b,269.3,0.87,1.13,7.1,6.05,18.11,1.23,2.062,Gas Giant
42 Dra b,479.1,1.19,1.16,3.88,3.08,22.03,0.98,2.155,Gas Giant
47 UMa b,1078,2.1,1.18,2.53,1.92,1.21,1.06,0.198,Gas Giant
47 UMa c,2391,3.6,1.27,0.54,0.329,1.21,1.06,0.198,Gas Giant
47 UMa d,14002,11.6,1.2,1.64,1.16,1.21,1.06,0.198,Gas Giant
51 Eri b,11688,13.2,1.19,2,1.45,1.49,1.75,0.85,Gas Giant
51 Peg b,4.230785,0.0527,1.27,0.46,0.275,1.18,1.03,0.136,Gas Giant
55 Cnc b,14.6516,0.1134,1.24,0.8306,0.54,0.94,0.91,-0.197,Gas Giant
55 Cnc c,44.3989,0.2373,0.76,0.1714,0.486,0.94,0.91,-0.197,Gas Giant
55 Cnc d,5574.2,5.957,1.16,3.878,3.08,0.94,0.91,-0.197,Gas Giant
55 Cnc e,0.7365474,0.01544,0.167,0.02514,6.66,0.94,0.91,-0.197,Super Earth
55 Cnc f,259.88,0.7708,0.677,0.141,0.563,0.94,0.91,-0.197,Gas Giant
6 Lyn b,934.3,2.11,1.19,2.01,1.46,5.2,1.44,1.176,Gas Giant
61 Vir b,4.215,0.050201,0.188,0.016,2.98,0.96,0.94,-0.095,Neptune-like
61 Vir c,38.021,0.2175,0.398,0.057,1.13,0.96,0.94,-0.095,Neptune-like
61 Vir d,123.01,0.476,0.456,0.072,0.943,0.96,0.94,-0.095,Neptune-like
7 CMa b,735.1,1.758,1.2,1.85,1.34,4.87,1.34,1.063,Gas Giant
7 CMa c,996,2.153,1.24,0.87,0.566,4.87,1.34,1.063,Gas Giant
70 Vir b,116.688,0.481,1.13,7.49,6.54,1.89,1.09,0.451,Gas Giant
75 Cet b,691.9,2.1,1.17,3,2.33,10.5,2.49,1.73,Gas Giant
8 UMi b,93.4,0.49,1.22,1.31,0.91,10.3,1.44,1.725,Gas Giant
81 Cet b,952.7,2.5,1.14,5.3,4.41,11,2.4,1.778,Gas Giant
91 Aqr b,181.4,0.7,1.17,3.2,2.49,11,1.4,1.692,Gas Giant
AB Aur b,214657.425,93.9,1.12,9,8.05,2.96,2.4,1.771,Gas Giant
AB Pic b,1615025.925,260,1.1,13.5,12.7,1,0.9,-0.226,Gas Giant
AF Lep b,8030,8.4,1.17,3.2,2.49,1.25,1.2,0.29,Gas Giant
AU Mic b,8.4629991,0.0645,0.363,0.0633,1.32,0.7,0.5,-1.046,Neptune-like
AU Mic c,18.858991,0.1101,0.289,0.0302,1.22,0.75,0.5,-1.046,Neptune-like
BD+03 2562 b,481.9,1.3,1.13,6.4,5.46,32.35,1.14,2.7,Gas Giant
BD+14 4559 b,268.94,0.78,1.23,1.04,0.691,0.86,0.49,-0.32,Gas Giant
BD+15 2375 b,153.22,0.576,1.23,1.061,0.705,8.95,1.08,1.57,Gas Giant
BD+15 2940 b,137.48,0.539,1.23,1.11,0.754,14.7,1.1,2.01,Gas Giant
BD+20 2457 b,379.63,1.45,1.08,21.42,21.1,49,2.8,3.17,Gas Giant
BD+20 2457 c,621.99,2.01,1.1,12.47,11.4,49,2.8,3.17,Gas Giant
BD+20 274 b,578.2,1.3,1.16,4.2,3.34,17.3,0.8,1.96,Gas Giant
BD+20 594 b,41.6855,0.241,0.23,0.07,7.89,1.08,1.67,-0.056,Neptune-like
BD+45 564 b,307.88,0.83,1.21,1.36,0.944,0.81,0.81,-0.399,Gas Giant
BD+48 738 b,392.6,1,1.24,0.91,0.592,11,0.74,1.69,Gas Giant
BD+48 740 b,733,1.7,1.2,1.7,1.21,10.33,1.09,1.64,Gas Giant
BD+49 828 b,2590,4.2,1.21,1.6,1.14,7.6,1.52,1.47,Gas Giant
BD+55 362 b,265.59,0.78,1.25,0.72,0.458,0.9,0.91,-0.313,Gas Giant
BD+60 1417 b,24761977.65,1662,1.31,15,8.27,0.8,1,0.356,Gas Giant
BD+63 1405 b,1198.48,2.06,1.11,10.4,9.53,0.8,0.82,-0.413,Gas Giant
BD-00 4475 b,723.2,1.48,1.07,25.05,25.3,0.84,0.81,-0.35,Gas Giant
BD-06 1339 b,3.8728,0.0428,0.254,0.027,2.02,0.69,0.7,-1.022,Neptune-like
BD-06 1339 c,125.94,0.435,0.747,0.17,0.495,0.69,0.7,-1.022,Gas Giant
BD-08 2823 b,5.6,0.06,0.322,0.04,1.48,0.71,0.5,-0.626,Neptune-like
BD-08 2823 c,237.6,0.68,1.11,0.33,0.293,0.72,0.74,-0.626,Gas Giant
BD-10 3166 b,3.48777,0.04,1.26,0.59,0.368,0.91,1.47,-0.191,Gas Giant
BD-11 4672 b,1634,2.36,1.25,0.65,0.405,0.64,0.65,-0.804,Gas Giant
BD-11 4672 c,74.2,0.3,0.36,0.04836,1.28,0.64,0.65,-0.804,Neptune-like
BD-13 2130 b,714.29999,1.66,1.11,9.78,8.75,19.17,2.12,2.043,Gas Giant
BD-17 63 b,655.6,1.34,1.15,5.1,4.25,0.69,0.74,-0.678,Gas Giant
BD-210397 b,1891,2.63,1.25,0.7,0.429,0.74,0.68,-0.87,Gas Giant
BD-210397 c,6360,5.9,1.18,2.4,1.77,0.74,0.68,-0.87,Gas Giant
CD Cet b,2.2907,0.0185,0.162,0.01243,3.6,0.17,0.16,-2.533,Super Earth
CFBDSIR J145829+101343 b,10037.5,2.6,1.11,10.5,9.62,,0.02,,Gas Giant
CFHTWIR-Oph 98 b,8040000,200,1.86,7.8,1.5,0.24,0.01,-2.85,Gas Giant
CHXR 73 b,1847442.087,210,1.1,12.569,11.8,,0.35,,Gas Giant
CI Tau b,8.9891,0.082022279,1.11,11.6,10.6,1.88,0.9,-0.108,Gas Giant
COCONUTS-2 b,402000000,7506,1.11,6.3,5.71,0.39,0.37,-1.732,Gas Giant
 ,365,440,2.2,17,1.98,1.68,0.796,-0.102,Gas Giant
CoRoT-1 b,1.5089557,0.02752,1.49,1.03,0.38,1.11,0.95,0.298,Gas Giant
CoRoT-10 b,13.2406,0.1055,0.97,2.75,3.7,0.79,0.89,-0.726,Gas Giant
CoRoT-11 b,2.99433,0.0436,1.43,2.33,0.99,1.37,1.27,0.378,Gas Giant
CoRoT-12 b,2.828042,0.04016,1.44,0.917,0.411,1.12,1.08,0.07,Gas Giant
CoRoT-13 b,4.03519,0.051,0.885,1.308,2.34,1.01,1.09,0.073,Gas Giant
CoRoT-14 b,1.51214,0.027,1.09,7.6,7.3,1.21,1.13,0.119,Gas Giant
CoRoT-16 b,5.35227,0.0618,1.17,0.535,0.44,1.19,1.1,-0.435,Gas Giant
CoRoT-17 b,3.7681,0.0461,1.02,2.43,2.82,1.59,1.04,0.134,Gas Giant
CoRoT-18 b,1.9000693,0.0295,1.31,3.47,2.2,1,0.95,-0.17,Gas Giant
CoRoT-19 b,3.89713,0.0518,1.29,1.11,0.71,1.65,1.21,0.544,Gas Giant
CoRoT-2 b,1.7429935,0.02798,1.466,3.47,1.47,0.91,0.96,-0.131,Gas Giant
CoRoT-20 b,9.24285,0.09,0.84,4.3,8.87,1.02,1.14,0.17,Gas Giant
CoRoT-20 c,1675,2.9,1.09,17,16.4,1.37,1.14,0.006,Gas Giant
CoRoT-21 b,2.72474,0.0417,1.3,2.26,1.36,1.95,1.29,0.705,Gas Giant
CoRoT-22 b,9.75598,0.092,0.435,0.038,0.249,1.14,1.1,0.014,Neptune-like
CoRoT-23 b,3.6313,0.048,1.05,2.8,3,1.61,1.14,0.087,Gas Giant
CoRoT-24 b,5.1134,0.056,0.33,0.018,0.9,0.86,0.91,-0.601,Neptune-like
CoRoT-24 c,11.759,0.098,0.44,0.088,1.3,0.86,0.91,-0.601,Neptune-like
CoRoT-25 b,4.86069,0.0578,1.08,0.27,0.15,1.19,1.09,0.141,Gas Giant
CoRoT-26 b,4.20474,0.0526,1.26,0.52,0.28,1.79,1.09,0.451,Gas Giant
CoRoT-27 b,3.57532,0.0476,1.007,10.39,12.6,1.08,1.05,-0.166,Gas Giant
CoRoT-28 b,5.20851,0.0603,0.955,0.484,0.69,1.78,1.01,0.388,Gas Giant
CoRoT-29 b,2.85057,0.0386,0.9,0.85,1.45,0.9,0.97,-0.094,Gas Giant
CoRoT-3 b,4.2568,0.05783,1.01,21.66,26.4,1.56,1.37,0.391,Gas Giant
CoRoT-30 b,9.06005,0.0844,1.009,2.9,3.45,0.91,0.98,-0.197,Gas Giant
CoRoT-31 b,4.62941,0.0586,1.46,0.84,0.33,2.15,1.25,0.398,Gas Giant
CoRoT-35 b,3.22748,0.0429,1.68,1.1,0.29,1.65,1.01,0.362,Gas Giant
CoRoT-36 b,5.616531,0.066,1.41,0.68,0.25,1.52,1.32,0.813,Gas Giant
CoRoT-4 b,9.20205,0.09,1.19,0.72,0.525,1.17,1.16,0.185,Gas Giant
CoRoT-5 b,4.0378962,0.04947,1.388,0.467,0.217,1.19,1,0.18,Gas Giant
CoRoT-6 b,8.886593,0.0855,1.166,2.96,2.32,1.03,1.05,0.026,Gas Giant
CoRoT-7 b,0.85359163,0.017016,0.15,0.01283,9.355,0.83,0.82,-0.289,Super Earth
CoRoT-7 c,3.698,0.046,0.253,0.02643,2.04,0.86,0.9,-0.289,Neptune-like
CoRoT-7 d,8.966,0.082149746,0.384,0.05393,1.18,0.84,0.92,-0.292,Neptune-like
CoRoT-8 b,6.21229,0.063,0.57,0.22,1.6,0.77,0.88,-0.4,Gas Giant
CoRoT-9 b,95.272656,0.4021,1.066,0.84,0.86,0.96,0.96,-0.254,Gas Giant
CoRoTID 223977153 b,6.71837,0.071,0.57,0.15,1.1,0.79,1.08,-0.155,Gas Giant
DE CVn b,4098.1,5.75,1.1,12.0293,11,0.42,0.51,-1.574,Gas Giant
DENIS-P J082303.1-491201 b,246.36,0.36,1.06,28.5,29.5,,0.07,,Gas Giant
DH Tau b,3813757.875,330,2.7,11,0.693,0.27,0.33,-0.212,Gas Giant
DMPP-1 b,18.57,0.1462,0.472,0.07636,0.901,1.26,1.21,0.32,Neptune-like
DMPP-1 c,6.584,0.0733,0.273,0.0302,1.84,1.26,1.21,0.32,Neptune-like
DMPP-1 d,2.882,0.0422,0.147,0.01054,4.1,1.26,1.21,0.32,Super Earth
DMPP-1 e,5.516,0.0651,0.166,0.01299,3.53,1.26,1.21,0.32,Super Earth
DMPP-2 b,5.2072,0.0664,1.28,0.437,0.261,1.78,1.44,0.104,Gas Giant
DMPP-3 A b,6.6732,0.0662,0.126,0.00812,5.06,0.91,0.87,-0.293,Super Earth
DP Leo b,10220,8.19,1.14,6.28,5.35,0.01,0.69,-2.4,Gas Giant
DS Tuc A b,8.138268,0.0794772,0.509,1.3,12.217,0.96,1.01,-0.14,Neptune-like
EPIC 201170410.02,6.7987,0.0349,0.093,0.0036,5.51,0.28,0.29,-1.9,Super Earth
EPIC 201238110 b,28.1656,0.134589305,0.167,0.0131,3.5,0.37,0.41,-1.508,Super Earth
EPIC 201427007 b,0.72091,0.0153,0.134,0.00899,4.66,0.94,0.93,-0.049,Super Earth
EPIC 201497682 b,2.13174,0.0298,0.062,0.00082,4.31,0.55,0.78,-0.766,Terrestrial
EPIC 201595106 b,0.877214,0.01805,0.116,0.00705,5.6,0.93,1.02,-0.026,Super Earth
EPIC 201615463 c,3.80464,0.04878,0.109,0.00624,5.99,1.6,1.07,0.458,Super Earth
EPIC 201754305 d,2.71578,0.03333,0.092,0.0034,5.43,0.54,0.67,-0.761,Super Earth
EPIC 201757695.02,2.0478,0.0296,0.081,0.00217,5.05,0.66,0.73,-0.364,Terrestrial
EPIC 201833600 c,3.96151,0.04155,0.089,0.00306,5.34,0.63,0.61,-0.874,Terrestrial
EPIC 201841433 b,4.1698,0.035,0.093,0.00352,5.47,0.63,0.8,-0.635,Super Earth
EPIC 205950854 c,8.050722,0.075333,0.117,0.00714,5.55,0.83,0.88,-0.176,Super Earth
EPIC 206024342 b,4.50756,0.052126,0.152,0.0111,3.95,0.82,0.93,-0.17,Super Earth
EPIC 206024342 c,0.911724,0.017961,0.125,0.008,5.09,1.1,0.93,-0.17,Super Earth
EPIC 206024342 d,14.647531,0.114359,0.232,0.0229,2.27,1.1,0.93,-0.17,Neptune-like
EPIC 206032309 b,2.87814,0.0239,0.09,0.00317,5.39,0.37,0.22,-1.73,Super Earth
EPIC 206042996 b,5.2986,0.049317,0.152,0.0111,3.95,0.5,0.57,-0.98,Super Earth
EPIC 206042996 c,0.354884,0.00813,0.107,0.00588,5.95,0.5,0.57,-0.98,Super Earth
EPIC 206215704 b,2.255436,0.025,0.089,0.00306,5.34,0.25,0.41,-2.088,Terrestrial
EPIC 206317286 b,1.58252,0.023709,0.086,0.00264,5.22,0.67,0.71,-0.593,Terrestrial
EPIC 206317286 c,17.515472,0.124044,0.187,0.0158,3.01,0.76,0.83,-0.593,Super Earth
EPIC 211822797 b,21.1701963,0.1195,0.171,0.0137,3.38,0.58,0.62,-1.153,Super Earth
EPIC 211945201 b,19.49221,0.1493,0.514,0.08495,0.65,1.39,1.17,0.373,Neptune-like
EPIC 212297394 b,2.289363,0.031947,0.132,0.00879,4.73,0.8,0.83,-0.505,Super Earth
EPIC 212297394 c,5.213965,0.055302,0.203,0.0182,2.71,0.8,0.83,-0.467,Neptune-like
EPIC 212424622 b,18.0983,0.13968,0.194,0.0168,2.88,1.22,1.11,0.179,Neptune-like
EPIC 212499991 b,34.885,0.202477,0.143,0.01,4.28,0.76,0.91,-0.497,Super Earth
EPIC 212587672 b,15.28078,0.1201,0.112,0.00669,5.85,0.98,0.99,0.006,Super Earth
EPIC 212587672 c,23.228555,0.158792,0.207,0.0189,2.64,0.98,0.99,0.038,Neptune-like
EPIC 212624936 b,0.578657,0.0135,0.107,0.00588,5.95,0.93,1,-0.124,Super Earth
EPIC 212624936 c,11.811437,0.101501,0.205,0.0186,2.66,0.93,1,-0.124,Neptune-like
EPIC 212737443 b,13.603,0.098,0.231,0.0227,2.29,0.67,0.69,-0.751,Neptune-like
EPIC 212737443 c,65.55,0.28,0.24,0.0242,2.17,0.67,0.69,-0.804,Neptune-like
EPIC 220492298 b,0.762406,0.016055,0.088,0.00295,5.31,0.89,0.95,-0.009,Terrestrial
EPIC 220554210 c,0.70531,0.01519,0.143,0.01,4.28,1,0.94,-0.215,Super Earth
EPIC 220674823 b,0.571292,0.01326,0.154,0.02583,8.77,0.99,0.95,-0.119,Super Earth
EPIC 220674823 c,13.3397,0.1083,0.253,0.028,2.12,0.99,0.95,-0.119,Neptune-like
EPIC 228836835 b,0.728113,0.0118618,0.098,0.0043,5.66,0.32,0.42,-1.612,Super Earth
EPIC 229004835 b,16.141132,0.1237,0.208,0.03272,4.49,1,0.97,0.03,Super Earth
EPIC 246851721 b,6.180235,0.07229,1.051,3,3.1,1.59,1.32,0.526,Gas Giant
EPIC 248847494 b,3650,4.5,1.11,13,11.809,2.7,0.9,0.548,Gas Giant
EPIC 249893012 b,3.5951,0.047,0.174,0.02753,6.39,1.71,1.05,0.356,Super Earth
EPIC 249893012 c,15.624,0.13,0.327,0.04616,1.62,1.71,1.05,0.356,Neptune-like
EPIC 249893012 d,35.747,0.22,0.352,0.03203,0.91,1.71,1.05,0.356,Neptune-like
FU Tau b,36956542,800,1.09,16,15.4,,0.05,-0.699,Gas Giant
G 264-012 b,2.30538,0.02279,0.124,0.00787,5.12,0.3,0.3,-1.972,Super Earth
G 264-012 c,8.0518,0.0525,0.157,0.0118,3.78,0.3,0.3,-1.972,Super Earth
G 9-40 b,5.746007,0.0385,0.181,0.03681,7.697,0.31,0.29,-1.971,Neptune-like
GJ 1002 b,10.3465,0.0457,0.092,0.0034,5.43,0.14,0.12,-2.852,Super Earth
GJ 1002 c,21.202,0.0738,0.098,0.00428,5.61,0.14,0.12,-2.852,Super Earth
GJ 1061 b,3.204,0.021,0.098,0.00431,5.66,0.16,0.12,-2.77,Super Earth
GJ 1061 c,6.689,0.035,0.105,0.00547,5.82,0.16,0.12,-2.77,Super Earth
GJ 1061 d,13.031,0.054,0.103,0.00516,5.77,0.16,0.12,-2.77,Super Earth
GJ 1132 b,1.628931,0.0153,0.101,0.00522,6.3,0.21,0.18,-2.359,Super Earth
GJ 1132 c,8.929,0.0476,0.128,0.00831,4.96,0.21,0.18,-2.359,Super Earth
GJ 1148 b,41.38,0.166,1.07,0.30425,0.315,0.36,0.34,-1.869,Gas Giant
GJ 1148 c,532.58,0.912,0.866,0.21414,0.409,0.36,0.34,-1.869,Gas Giant
GJ 1151 c,389.7,0.5714,0.29,0.03341,1.7,0.18,0.16,-2.48,Neptune-like
GJ 1214 b,1.58040433,0.0149,0.245,0.02571,2.2,0.21,0.18,-2.337,Neptune-like
GJ 1252 b,0.5182331,0.00915,0.106,0.00415,4.2,0.39,0.38,-1.708,Super Earth
GJ 1265 b,3.6511,0.026,0.234,0.02328,2.24,0.19,0.18,-2.439,Neptune-like
GJ 143 b,35.61253,0.1915,0.233,0.07142,7,0.7,0.73,-0.686,Neptune-like
GJ 15 A b,11.4407,0.072,0.139,0.00953,4.47,0.38,0.38,-1.655,Super Earth
GJ 15 A c,7600,5.4,0.595,0.11327,0.667,0.38,0.38,-1.655,Neptune-like
GJ 160.2 b,5.2354,0.053,0.283,0.03209,1.76,0.66,0.69,-0.796,Neptune-like
GJ 163 b,8.63182,0.0607,0.29,0.03335,1.7,0.41,0.4,-1.708,Neptune-like
GJ 163 c,25.63058,0.1254,0.223,0.0214,2.39,0.41,0.4,-1.708,Neptune-like
GJ 163 d,603.95116,1.0304,0.528,0.0925,0.779,0.41,0.4,-1.708,Neptune-like
GJ 179 b,2288,2.41,1.23,0.95,0.631,0.38,0.36,-1.796,Gas Giant
GJ 180 b,17.133,0.092,0.217,0.02042,2.49,0.41,0.43,-1.886,Neptune-like
GJ 180 c,24.329,0.129,0.215,0.02014,2.51,0.41,0.43,-1.886,Neptune-like
GJ 180 d,106.3,0.309,0.237,0.02379,2.21,0.41,0.43,-1.609,Neptune-like
GJ 2030 b,2.38129,0.034,0.181,0.015,3.13,2.24,0.96,0.612,Super Earth
GJ 2030 c,25533.11353,16.761,1.1,12.803,12,2.24,0.96,0.612,Gas Giant
GJ 2056 b,69.971,0.283,0.372,0.05097,1.23,0.71,0.62,-0.905,Neptune-like
GJ 229 A c,121.93268,0.384,0.256,0.027,1.99,0.46,0.51,-1.222,Neptune-like
GJ 229 b,579.47495,1.086,0.354,0.047,1.31,0.46,0.51,-1.553,Neptune-like
GJ 251 b,14.238,0.0818,0.163,0.01259,3.59,0.36,0.36,-1.772,Super Earth
GJ 27.1 b,15.819,0.101,0.327,0.0409,1.46,0.52,0.53,-1.585,Neptune-like
GJ 273 b,18.6498,0.091101,0.135,0.00909,4.61,0.29,0.29,-2.056,Super Earth
GJ 273 c,4.7234,0.036467,0.094,0.00371,5.44,0.29,0.29,-2.056,Super Earth
GJ 3021 b,133.71,0.49,1.17,3.37,2.62,0.9,0.9,-0.18,Gas Giant
GJ 3082 b,11.949,0.079,0.249,0.0258,2.07,0.47,0.47,-1.463,Neptune-like
GJ 3090 b,2.853136,0.03165,0.19,0.01051,1.89,0.52,0.52,-1.342,Neptune-like
GJ 3138 b,1.22003,0.0197,0.106,0.0056,5.95,0.5,0.68,-1.347,Super Earth
GJ 3138 c,5.974,0.057,0.167,0.01315,3.46,0.5,0.68,-1.347,Super Earth
GJ 3138 d,257.8,0.698,0.288,0.03304,1.71,0.5,0.68,-1.347,Neptune-like
GJ 317 b,695.66,1.151,1.18,2.5,1.86,0.43,0.42,-1.687,Gas Giant
GJ 317 c,6739.323,5.23,1.2,1.64396,1.17,0.43,0.42,-1.687,Gas Giant
GJ 3222 b,10.66669,0.091,0.303,0.036,1.6,0.93,0.89,-0.252,Neptune-like
GJ 328 b,3771,4.11,1.18,2.51,1.86,0.65,0.63,-1.08,Gas Giant
GJ 328 c,241.8,0.657,0.438,0.06733,0.993,0.65,0.63,-1.08,Neptune-like
GJ 3293 b,30.5987,0.14339,0.463,0.07406,0.925,0.4,0.42,-1.658,Neptune-like
GJ 3293 c,122.6196,0.36175,0.434,0.06636,1,0.4,0.42,-1.658,Neptune-like
GJ 3293 d,48.1345,0.19394,0.238,0.02391,2.19,0.4,0.42,-1.658,Neptune-like
GJ 3293 e,13.2543,0.08208,0.145,0.01032,4.16,0.4,0.42,-1.658,Super Earth
GJ 3323 b,5.3636,0.03282,0.109,0.00636,5.96,0.12,0.16,-2.569,Super Earth
GJ 3323 c,40.54,0.1264,0.118,0.00727,5.52,0.12,0.16,-2.569,Super Earth
GJ 3341 b,14.207,0.089,0.219,0.0208,2.44,0.44,0.47,-1.538,Neptune-like
GJ 338 B b,24.422,0.142,0.29,0.03335,1.7,0.58,0.64,-1.101,Neptune-like
GJ 3470 b,3.3366496,0.0355,0.408,0.04373,0.8,0.55,0.54,-1.538,Neptune-like
GJ 3473 b,1.1980035,0.01589,0.113,0.00585,5.03,0.36,0.36,-1.824,Super Earth
GJ 3473 c,15.509,0.0876,0.235,0.02331,2.24,0.36,0.36,-1.824,Neptune-like
GJ 3512 b,203.69,0.337,1.27,0.46,0.275,0.14,0.12,-2.804,Gas Giant
GJ 3512 c,1599.6,1.292,0.832,0.2,0.431,0.14,0.12,-2.804,Gas Giant
GJ 357 b,3.93072,0.035,0.109,0.00579,5.6,0.34,0.34,-1.798,Super Earth
GJ 357 c,9.1247,0.061,0.148,0.0107,4.08,0.34,0.34,-1.798,Super Earth
GJ 357 d,55.661,0.204,0.209,0.01919,2.62,0.34,0.34,-1.798,Neptune-like
GJ 3634 b,2.64561,0.0287,0.253,0.026,2.04,0.43,0.45,-1.699,Neptune-like
GJ 367 b,0.321962,0.0071,0.064,0.00172,8.106,0.46,0.45,-1.541,Terrestrial
GJ 3779 b,3.0232,0.026,0.245,0.02517,2.11,0.28,0.27,-2.062,Neptune-like
GJ 3929 b,2.616235,0.0252,0.097,0.00551,7.3,0.32,0.31,-1.963,Super Earth
GJ 3929 c,15.04,0.081,0.201,0.01797,2.72,0.32,0.31,-1.963,Neptune-like
GJ 393 b,7.02679,0.05402,0.104,0.00538,5.87,0.43,0.43,-1.571,Super Earth
GJ 3942 b,6.905,0.0608,0.229,0.02246,2.31,0.61,0.63,-1.12,Neptune-like
GJ 3998 b,2.64977,0.029,0.123,0.00777,5.16,0.49,0.5,-1.387,Super Earth
GJ 3998 c,13.74,0.089,0.212,0.0197,2.55,0.49,0.5,-1.387,Neptune-like
GJ 411 b,12.9394,0.07879,0.129,0.00846,4.85,0.37,0.39,-1.71,Super Earth
GJ 414 A b,50.8,0.2324,0.235,0.02391,2.3,0.68,0.65,-0.924,Neptune-like
GJ 414 A c,749.83,1.4,0.749,0.16937,0.499,0.68,0.65,-0.924,Gas Giant
GJ 422 b,20.129,0.111,0.297,0.03483,1.65,0.37,0.35,-1.959,Neptune-like
GJ 4276 b,13.352,0.082,0.377,0.05213,1.21,0.41,0.41,-1.706,Neptune-like
GJ 433 b,7.3705,0.062,0.208,0.01901,2.63,0.5,0.48,-1.699,Neptune-like
GJ 433 c,5094.105,4.819,0.56,0.10201,0.723,0.47,0.48,-1.699,Neptune-like
GJ 433 d,36.059,0.178,0.191,0.01643,2.93,0.47,0.48,-1.475,Neptune-like
GJ 436 b,2.64388312,0.0291,0.372,0.07,1.8,0.46,0.47,-1.585,Neptune-like
GJ 463 b,3448,3.53,1.16,3.6,2.86,0.49,0.49,-1.523,Gas Giant
GJ 480 b,9.567,0.068,0.33,0.04153,1.44,0.46,0.45,-1.612,Neptune-like
GJ 486 b,1.467119,0.01734,0.116,0.00887,7,0.33,0.32,-1.917,Super Earth
GJ 504 b,94928.475,43.5,1.16,4,3.18,1.26,1.22,0.332,Gas Giant
GJ 514 b,140.43,0.422,0.19,0.01636,2.96,0.5,0.51,-1.367,Neptune-like
GJ 536 b,8.7076,0.06661,0.194,0.01686,2.88,0.5,0.52,-1.377,Neptune-like
GJ 581 b,5.3686,0.04061,0.366,0.0497,1.25,0.33,0.31,-1.885,Neptune-like
GJ 581 c,12.914,0.0721,0.197,0.0173,2.8,0.33,0.31,-1.885,Neptune-like
GJ 581 e,3.149,0.02815,0.104,0.0053,5.83,0.33,0.31,-1.885,Super Earth
GJ 625 b,14.628,0.078361,0.133,0.00887,4.68,0.31,0.3,-1.894,Super Earth
GJ 649 b,600.1,1.112,0.966,0.258,0.358,0.5,0.53,-1.361,Gas Giant
GJ 667 C b,7.2004,0.0505,0.199,0.018,2.77,,0.33,-1.863,Neptune-like
GJ 667 C c,28.14,0.125,0.158,0.012,3.77,,0.33,-1.863,Super Earth
GJ 667 C e,62.24,0.213,0.129,0.008,4.87,,0.33,-1.863,Super Earth
GJ 667 C f,39.026,0.156,0.129,0.008,4.87,,0.33,-1.863,Super Earth
GJ 667 C g,256.2,0.549,0.177,0.014,3.21,,0.33,-1.863,Super Earth
GJ 674 b,4.6938,0.039,0.297,0.035,1.65,0.36,0.35,-1.796,Neptune-like
GJ 676 A b,1051.44521,1.735,1.14,5.792,4.82,0.69,0.63,-1.043,Gas Giant
GJ 676 A c,13921.42302,9.726,1.1,13.492,12.7,0.65,0.63,-1.043,Gas Giant
GJ 676 A d,3.60076,0.039,0.159,0.012,3.72,0.65,0.63,-1.043,Super Earth
GJ 676 A e,35.47358,0.181,0.221,0.021,2.43,0.65,0.63,-1.043,Neptune-like
GJ 680 b,17281.66514,10.138,1.07,25.1,25.4,0.46,0.46,-1.514,Gas Giant
GJ 682 b,17.478,0.08,0.173,0.01384,3.36,0.3,0.27,-2.699,Super Earth
GJ 682 c,57.32,0.176,0.258,0.02737,1.98,0.3,0.27,-2.699,Neptune-like
GJ 685 b,24.16,0.1344,0.263,0.02832,1.93,0.54,0.55,-1.253,Neptune-like
