pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
K2-205 b,26.672263,0.171745,0.178,0.0146,3.21,1.08,0.95,0.194,Super Earth
K2-206 b,18.294549,0.1256107,0.249,0.0259,2.07,0.76,0.79,-0.435,Neptune-like
K2-207 b,12.48749,0.103188028,0.232,0.023,2.27,0.93,0.94,-0.173,Neptune-like
K2-208 b,4.190948,0.049656,0.15,0.0109,4.02,0.86,0.93,-0.214,Super Earth
K2-209 b,2.080615,0.0288497,0.077,0.00184,4.92,0.71,0.74,-0.588,Terrestrial
K2-21 b,9.325038,0.076,0.164,0.0127,2.7,0.65,0.68,-1.026,Neptune-like
K2-21 c,15.50192,0.107,0.222,0.0213,5.4,0.65,0.68,-0.985,Super Earth
K2-210 b,0.57023,0.013041,0.077,0.00178,4.89,0.89,0.91,-0.249,Terrestrial
K2-211 b,0.669532,0.01435,0.116,0.00705,5.6,0.79,0.88,-0.386,Super Earth
K2-212 b,9.795647,0.0785,0.236,0.0236,2.22,0.68,0.62,-0.91,Neptune-like
K2-213 b,8.13087,0.0809386,0.135,0.00913,4.59,1.2,1.07,0.247,Super Earth
K2-214 b,8.596802,0.0834,0.217,0.0204,2.48,1.27,1.05,0.196,Neptune-like
K2-215 b,8.269648,0.080031,0.189,0.0162,2.96,0.97,1,-0.026,Neptune-like
K2-216 b,2.1748,0.028,0.156,0.02517,8.2,0.72,0.7,-0.721,Super Earth
K2-217 b,14.074524,0.1177669,0.319,0.0393,1.5,1.33,1.1,0.232,Neptune-like
K2-218 b,8.679885,0.0840121,0.229,0.0224,2.31,1.01,1.05,-0.003,Neptune-like
K2-219 b,3.901287,0.0488212,0.12,0.0075,5.34,1.19,1.02,0.151,Super Earth
K2-219 c,6.66767,0.06978885,0.128,0.00837,4.91,1.19,1.02,0.151,Super Earth
K2-219 d,11.137278,0.09824776,0.23,0.0225,2.3,1.19,1.02,0.151,Neptune-like
K2-22 b,0.381073,0.009,0.205,1.4,201.36,0.58,0.6,-1.074,Neptune-like
K2-220 b,13.683256,0.1104,0.213,0.0198,2.54,1.02,0.96,-0.061,Neptune-like
K2-221 b,2.399094,0.0351891,0.15,0.0109,4.02,0.95,1.01,-0.064,Super Earth
K2-222 b,15.38857,0.1206,0.21,0.02737,3.68,1.11,0.99,0.139,Super Earth
K2-223 b,0.50557,0.0127,0.079,0.00201,4.99,1,1.06,-0.035,Terrestrial
K2-223 c,4.562546,0.0549,0.134,0.00899,4.66,1,1.06,-0.035,Super Earth
K2-224 b,4.47904,0.0516,0.139,0.00961,4.41,0.84,0.91,-0.241,Super Earth
K2-224 c,10.09489,0.0886,0.215,0.0201,2.51,0.84,0.91,-0.241,Neptune-like
K2-225 b,15.87209,0.134,0.311,0.0377,1.55,1.7,1.27,0.395,Neptune-like
K2-226 b,3.27108,0.0413,0.137,0.0094,4.5,0.91,0.88,-0.276,Super Earth
K2-227 b,13.621832,0.109732382,0.149,0.0107,4.06,0.89,0.95,-0.167,Super Earth
K2-228 b,2.69828,0.0338,0.108,0.00606,5.96,0.65,0.71,-0.849,Super Earth
K2-229 b,0.584216,0.0131,0.089,0.00783,8.9,0.79,0.87,-0.389,Super Earth
K2-229 c,8.32727,0.0769,0.181,0.06702,12.8,0.79,0.87,-0.389,Super Earth
K2-230 b,2.86041,0.0409,0.175,0.0142,3.28,1.39,1.11,0.317,Super Earth
K2-231 b,13.841901,0.1131985,0.223,0.0214,2.39,0.95,1.01,-0.112,Neptune-like
K2-232 b,11.168454,0.10356,1,0.398,0.405,1.16,1.19,0.238,Gas Giant
K2-233 b,2.4675,0.03308,0.12,0.03543,26.26,0.71,0.79,-0.523,Super Earth
K2-233 c,7.06005,0.06666,0.114,0.0403,33.91,0.71,0.79,-0.523,Super Earth
K2-233 d,24.3645,0.15224,0.21,0.06651,8.85,0.71,0.79,-0.523,Super Earth
K2-237 b,2.18053539,0.03558,1.445,1.363,0.562,1.26,1.26,0.371,Gas Giant
K2-238 b,3.20466,0.046,1.3,0.86,0.56,1.59,1.19,0.36,Gas Giant
K2-239 b,5.24,0.0441,0.098,0.0043,5.66,0.36,0.4,-1.796,Super Earth
