pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
TOI-2000 c,TOI-2000,1,2,9.127055,0.0878,8.14,0.727,81.7,0.257,Mass,0.829,0.063,149,1038,87.86,16.64,0.06581,,5611,1.13,1.08,0.439,0.06,4.36,5.3,1.047,175.713,10.984,9.303001,10.8542,Gas Giant
TOI-201 b,TOI-201,1,1,52.97818,0.3,11.299,1.008,133.4886,0.42,Mass,0.509,0.28,19.43,759,,,,F6 V,6394,1.32,1.32,0.24,0.415,4.32,0.87,0.81,113.825,9.07,7.846,8.94004,Gas Giant
TOI-2018 b,TOI-2018,1,1,7.435583,,2.268,0.202,9.2,0.02895,Mass,4.33,0,75.67,821,88.52,21.12,0.0335,K V,4174,0.62,0.57,-0.58,-1,4.62,,3.2285,27.9956,10.25,7.104,9.71999,Super Earth
TOI-2025 b,TOI-2025,1,1,8.8720982,0.0892,11.893,1.061,1144.18227,3.6,Mass,3.74,0.394,343.72,1166,88.65,13.12,0.07469,,5977,1.46,1.2,0.15,0.387,4.19,4.5,0.542,335.985,11.599,10.01,11.3637,Gas Giant
TOI-2046 b,TOI-2046,1,1,1.4971842,,16.141,1.44,731.00534,2.3,Mass,0.955,,2643.65,1829,83.6,4.75,0.1213,F8 V,6250,1.21,1.13,-0.06,0.28,4.3,0.45,0.89,289.668,11.552,10.094,11.4128,Gas Giant
TOI-2048 b,TOI-2048,1,1,13.79019,,2.61,0.233,7.32,0.023,M-R relationship,2.26,0.13,29.04,646,89.41,32.9,0.0239,G V,5185,0.79,0.83,0.02,-0.387,4.6,0.3,2.38,116.567,11.431,9.439,11.3252,Neptune-like
TOI-206 b,TOI-206,1,1,0.7363104,0.0112,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,117.76,910,,,,,3383,0.35,0.35,,-1.836,4.89,,10.89588,47.7465,14.938,10.06,13.6662,Super Earth
TOI-2076 b,TOI-2076,1,3,10.35509,0.0682,2.518,0.225,6.89,0.0217,M-R relationship,2.37,,84.06,797,88.9,17.79,0.02998,K,5187,0.77,0.85,-0.09,-0.423,4.45,0.204,2.244,41.9091,9.139,7.115,8.91028,Neptune-like
TOI-2076 c,TOI-2076,1,3,21.01538,0.1093,3.497,0.312,12,0.0378,M-R relationship,1.54,,32.7,630,89.84,24.9,0.04164,K,5187,0.77,0.85,-0.09,-0.423,4.45,0.204,2.244,41.9091,9.139,7.115,8.91028,Neptune-like
TOI-2076 d,TOI-2076,1,3,35.12537,0.1539,3.232,0.288,10.5,0.0331,M-R relationship,1.71,,16.5,530,88.607,32.1,0.03848,K,5187,0.77,0.85,-0.09,-0.423,4.45,0.204,2.244,41.9091,9.139,7.115,8.91028,Neptune-like
TOI-2081 b,TOI-2081,1,1,10.50534,0.0752,2.04,0.182,4.82,0.0152,M-R relationship,3.12,,8.1,488,89.34,30.3,0.0396,M1.0,3800,0.53,0.54,-0.5,-1.338,4.5,,5.28025,62.3446,13.369,9.523,12.6594,Super Earth
TOI-2084 b,TOI-2084,2,1,6.0784247,0.05006,2.47,0.22,6.66,0.021,M-R relationship,2.43,,12.8,527,89.15,22.66,,M2+/-0.5,3551,0.48,0.45,-0.13,-1.492,4.75,7.5,5.96357,114.549,15.115,11.148,14.4096,Neptune-like
