pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
11 Com b,11 Com,2,1,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,19.1,0.231,,,,,,G8 III,4742,19,2.7,-0.35,2.243,2.31,,,93.1846,4.72307,2.282,4.44038,Gas Giant
11 UMi b,11 UMi,1,1,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,13.8,0.08,,,,,,K4 III,4213,29.79,2.78,-0.02,2.43,1.93,1.56,,125.321,5.013,1.939,4.56216,Gas Giant
14 And b,14 And,1,1,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,3.9,0,,,,,,K0 III,4813,11,2.2,-0.24,1.763,2.63,4.5,,75.4392,5.23133,2.331,4.91781,Gas Giant
14 Her b,14 Her,1,2,1765.0389,2.774,12.6,1.12,2559.47216,8.053,Mass,7.03,0.373,,,144.652,,,K0 V,5338,0.93,0.91,0.405,-0.153,4.45,3.9,1.27393,17.9323,6.61935,4.714,6.383,Gas Giant
16 Cyg B b,16 Cyg B,3,1,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,1.26,0.68,,,,,,G3 V,5750,1.13,1.08,0.06,0.097,4.36,7.4,1.01103,21.1397,6.215,4.651,6.06428,Gas Giant
17 Sco b,17 Sco,1,1,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,3.51,0.06,,,,,,K3 III,4157,25.92,1.22,-0.01,2.254,1.7,5.13,,124.953,5.22606,2.094,4.75429,Gas Giant
18 Del b,18 Del,2,1,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,9.21,0.08,,,,,,G6 III,4979,8.5,2.3,-0.052,1.602,2.82,1.1,,76.222,5.51048,3.366,5.27476,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330,18.647,1.664,3000,8,Mass,2.54,,,1700,,,,K7 V,4060,1.31,0.85,,-0.37,4,0.005,0.38789,139.135,12.618,8.916,12.0572,Gas Giant
24 Boo b,24 Boo,1,1,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.592,0.042,,,,,,G3 IV,4893,10.64,0.99,-0.77,1.774,2.42,6.92,,95.9863,5.59,3.159,5.3339,Gas Giant
24 Sex b,24 Sex,1,2,452.8,1.333,13.4,1.19,632.46,1.99,Msini,1.44,0.09,,,,,,K0 IV,5098,4.9,1.54,-0.03,1.164,3.5,2.7,,72.0691,6.4535,4.285,6.20374,Gas Giant
24 Sex c,24 Sex,1,2,883,2.08,13.9,1.24,273.32,0.86,Msini,0.559,0.29,,,,,,K0 IV,5098,4.9,1.54,-0.03,1.164,3.5,2.7,,72.0691,6.4535,4.285,6.20374,Gas Giant
2M0437 b,2MASS J04372171+2651014,1,1,,118,13,1.16,1271.31363,4,Mass,3.18,,,1450,,,,M V,3100,0.84,0.17,0.01,-1.164,4.5,2.5,3.32018,128.484,16.186,10.386,14.3374,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84,12.3,1.1,4131.79,13,Mass,12.2,,,,,,,M5.5/M6,,,0.19,,,,0.03,,47.2,15.788,9.237001,,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52,11.209,1,7786.5,24.5,Mass,30.4,,,1600,,,,M3.5 V,3530,0.37,0.4,,-1.72,4.86,0.12,10.11868,33.8281,14.244,9.198,12.9025,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156,16.141,1.44,4417.837,13.9,Mass,5.77,,,,,,,M6,3064,0.28,0.11,,-2.23,4.59,0.035,17.67076,40.0896412,,10.404,15.0123,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15,12.6,1.13,2383.6,7.5,Mass,6.55,,,,,,,M8.5,2936,0.23,0.02,,-2.444,5.01,0.001,22.7811,120.423987,,13.161,18.9668,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55,12.9,1.15,1589.15,5,Mass,4.07,,,1250,,,,M8,2825,0.22,0.02,,-2.561,5.03,0.008,25.27945,64.308,20.15,11.945,17.4076,Gas Giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406,0.92,13.4,1.2,603.877,1.9,Mass,1.38,0.33,,,,,,,29564,0.2,0.48,-0.092,1.45,5.51,,,396.332,12.651,12.955,12.1376,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230,12.3,1.1,3972.875,12.5,Mass,11.7,,,,,,,K7 V,4045,0.64,0.6,,-1.021,4.62,0.12,3.36994,69.5737,12.368,9.148,11.9484,Gas Giant
30 Ari B b,30 Ari B,4,1,335.10001,0.99,12.3,1.1,4392.4106,13.82,Msini,13,0.29,,,,,,F6 V,6331,1.41,1.93,0.19,0.381,4.43,0.91,0.743,44.657,7.09209,5.822,6.96085,Gas Giant
4 UMa b,4 UMa,1,1,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,6.05,0.432,,,,,,K1 III,4415,18.11,1.23,-0.25,2.062,1.8,4.604,,73.4603,4.5801,1.734,4.23773,Gas Giant
42 Dra b,42 Dra,2,1,479.1,1.19,13,1.16,1233.13,3.88,Msini,3.08,0.38,,,,,,K1.5 III,4200,22.03,0.98,-0.46,2.155,1.71,9.49,,90.6545,4.8262,2.085,4.43216,Gas Giant
47 UMa b,47 UMa,1,3,1078,2.1,13.2,1.18,804.08,2.53,Msini,1.92,0.032,,,,,,G0 V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
47 UMa c,47 UMa,1,3,2391,3.6,14.2,1.27,171.621,0.54,Msini,0.329,0.098,,,,,,G1 V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
47 UMa d,47 UMa,1,3,14002,11.6,13.5,1.2,521.22,1.64,Msini,1.16,0.16,,,,,,G0V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
51 Eri b,51 Eri,3,1,11688,13.2,13.4,1.19,635.66,2,Mass,1.45,0.45,,700,133,,,F0 IV,7295,1.49,1.75,-0.027,0.85,4.31,0.02,0.70712,29.7575,5.21149,4.537,5.15806,Gas Giant
51 Peg b,51 Peg,1,1,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.275,0.013,,,80,,,G5V,5758,1.18,1.03,0.18,0.136,4.31,10,0.89374,15.4614,5.45309,3.911,5.28647,Gas Giant
55 Cnc b,55 Cnc,2,5,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0.54,0,,700,89.73,,,K0 IV-V,5172,0.94,0.91,0.35,-0.197,4.43,5.5,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc c,55 Cnc,2,5,44.3989,0.2373,8.51,0.76,54.4738,0.1714,Mass,0.486,0.03,,,89.73,,,G8V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc d,55 Cnc,2,5,5574.2,5.957,13,1.16,1232.493,3.878,Mass,3.08,0.13,,,89.73,,,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,5.5,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc e,55 Cnc,2,5,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,2657.83,1958,83.59,3.52,0.0182,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41,12.5855,5.95084,4.015,5.72973,Super Earth
55 Cnc f,55 Cnc,2,5,259.88,0.7708,7.59,0.677,44.812,0.141,Mass,0.563,0.08,,,89.73,,,G8V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
6 Lyn b,6 Lyn,1,1,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,1.46,0.073,,,,,,K0 IV,4938,5.2,1.44,-0.13,1.176,3.19,2.353,,54.6599,5.87307,3.701,5.60686,Gas Giant
61 Vir b,61 Vir,1,3,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,2.98,0.12,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
61 Vir c,61 Vir,1,3,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,1.13,0.14,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
61 Vir d,61 Vir,1,3,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.943,0.35,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
7 CMa b,7 CMa,1,2,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),1.34,0.06,,,90,,,K1 III,4826,4.87,1.34,0.21,1.063,3.19,4.3,,19.8101,3.95,1.564,3.67853,Gas Giant
7 CMa c,7 CMa,1,2,996,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.566,0.08,,,90,,,K1III(+M),4826,4.87,1.34,0.21,1.063,3.19,4.3,,19.8101,3.95,1.564,3.67853,Gas Giant
70 Vir b,70 Vir,1,1,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,6.54,0.3988,,,,,,G5V,5495,1.89,1.09,-0.09,0.451,3.95,7.77,0.19024,17.9011,4.96808,3.5,4.76178,Gas Giant
75 Cet b,75 Cet,2,1,691.9,2.1,13.1,1.17,953.49,3,Msini,2.33,0.117,,,,,,G3 III,4846,10.5,2.49,0,1.73,2.63,,,82.9613,5.3532,3.207,5.09343,Gas Giant
8 UMi b,8 UMi,1,1,93.4,0.49,13.6,1.22,416.3573,1.31,Msini,0.91,0.06,,,,,,K0,4847,10.3,1.44,-0.03,1.725,2.57,1.7,,162.552,6.83295,4.515,6.55896,Gas Giant
81 Cet b,81 Cet,1,1,952.7,2.5,12.8,1.14,1684.4,5.3,Msini,4.41,0.206,,,,,,G5 III,4785,11,2.4,-0.06,1.778,2.35,,,101.26,5.64307,3.266,5.37588,Gas Giant
91 Aqr b,91 Aqr,3,1,181.4,0.7,13.1,1.17,1017,3.2,Msini,2.49,0.027,,,,,,K0 III,4665,11,1.4,-0.03,1.692,2.52,3.56,,44.0304,4.23946,1.597,3.95311,Gas Giant
AB Aur b,AB Aur,1,1,,93.9,12.5,1.12,2860.45566,9,Mass,8.05,0.4,,,42.6,,,,9770,2.96,2.4,,1.771,3.77,0.003,0.1033,162.127,7.076,4.23,7.07854,Gas Giant
AB Pic b,AB Pic,1,1,,260,12.3,1.1,4290.5,13.5,Mass,12.7,,,,,,,K2 V,5285,1,0.9,0.04,-0.226,4.53,0.03,1.12014,50.0475,9.13,6.981,8.8378,Gas Giant
AF Lep b,AF Lep,1,1,8030,8.4,13.1,1.17,1017.0509,3.2,Mass,2.49,0.24,,1400,50,,,F8 V,6130,1.25,1.2,0.19,0.29,4.4,0.024,1.45415,26.8564,6.332,4.926,6.18644,Gas Giant
AU Mic b,AU Mic,1,2,8.4629991,0.0645,4.07,0.363,20.12,0.0633,Mass,1.32,0.186,76.64,593,89.5,19.1,0.0496,M1,3588,0.7,0.5,,-1.046,4.39,0.022,1.67,9.7221,8.81,4.529,7.84038,Neptune-like
AU Mic c,AU Mic,1,2,18.858991,0.1101,3.24,0.289,9.6,0.0302,Mass,1.22,0.041,,454,89.39,31.7,0.0395,M1,3700,0.75,0.5,,-1.046,4.39,0.022,1.67,9.7221,8.81,4.529,7.84038,Neptune-like
BD+03 2562 b,BD+03 2562,1,1,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,5.46,0.2,,,,8.64,,,4095,32.35,1.14,-0.71,2.7,1.89,5.2,,1070.63,9.577,6.021,8.9977,Gas Giant
BD+14 4559 b,BD+14 4559,1,1,268.94,0.78,13.8,1.23,330.5432,1.04,Msini,0.691,0.29,,,,,,K2 V,4864,0.86,0.49,0.17,-0.32,4.26,,1.73113,49.352,9.78,7.336,9.35108,Gas Giant
BD+15 2375 b,BD+15 2375,1,1,153.22,0.576,13.8,1.23,337.21763,1.061,Msini,0.705,0.001,,,,,,G5,4649,8.95,1.08,-0.22,1.57,2.61,7.41,,768.045,10.41,7.718,9.9918,Gas Giant
BD+15 2940 b,BD+15 2940,1,1,137.48,0.539,13.7,1.23,352.78,1.11,Msini,0.754,0.26,,,,,,K0,4796,14.7,1.1,0.28,2.01,2.8,7.1,,426.42,9.01,6.525,8.7178,Gas Giant
BD+20 2457 b,BD+20 2457,1,2,379.63,1.45,12.1,1.08,6807.63,21.42,Msini,21.1,0.15,,,,,,K2 II,4137,49,2.8,-1,3.17,1.51,,,1539.71,9.743,6.42,9.22684,Gas Giant
BD+20 2457 c,BD+20 2457,1,2,621.99,2.01,12.4,1.1,3963.17,12.47,Msini,11.4,0.18,,,,,,K2 II,4137,49,2.8,-1,3.17,1.51,,,1539.71,9.743,6.42,9.22684,Gas Giant
BD+20 274 b,BD+20 274,1,1,578.2,1.3,13,1.16,1334.886,4.2,Msini,3.34,0.21,,,,,,K5 III,4296,17.3,0.8,-0.46,1.96,1.99,,,1322.51,9.367,6.169,8.91613,Gas Giant
BD+20 594 b,BD+20 594,1,1,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,7.89,0,,546,89.55,55.8,0.02204,G,5766,1.08,1.67,-0.15,-0.056,4.5,3.34,1.89,179.461,10.849,9.368,10.8644,Neptune-like
BD+45 564 b,BD+45 564,1,1,307.88,0.83,13.6,1.21,432.24663,1.36,Msini,0.944,0.12,,,2.579,,,K1,5004,0.81,0.81,-0.09,-0.399,4.22,,2.22951,53.622,9.67,7.557,9.41266,Gas Giant
BD+48 738 b,BD+48 738,1,1,392.6,1,13.9,1.24,289.2253,0.91,Msini,0.592,0.2,,,,,,K0 III,4414,11,0.74,-0.2,1.69,2.24,,,871.493,9.139,5.904,8.65569,Gas Giant
BD+48 740 b,BD+48 740,1,1,733,1.7,13.5,1.2,540.311,1.7,Msini,1.21,0.76,,,,,,K3 III,4534,10.33,1.09,-0.13,1.64,2.48,,,666.589,8.69,5.645,8.26449,Gas Giant
BD+49 828 b,BD+49 828,1,1,2590,4.2,13.5,1.21,508.5,1.6,Msini,1.14,0.35,,,,,,K0,4943,7.6,1.52,-0.19,1.47,2.85,2.34,,442.042,9.381,6.571,9.02851,Gas Giant
BD+55 362 b,BD+55 362,1,1,265.59,0.78,14,1.25,228.83645,0.72,Msini,0.458,0.27,,,0.601,,,K3,5012,0.9,0.91,0.18,-0.313,4.09,,1.66486,52.5697,9.38,7.331,9.15305,Gas Giant
BD+60 1417 b,BD+60 1417,1,1,,1662,14.684,1.31,4767.4261,15,Mass,8.27,,,1303,,,,K0,4993,0.8,1,,0.356,4.55,0.1,2.30875,44.9543,9.374,7.288,9.17439,Gas Giant
BD+63 1405 b,BD+63 1405,1,1,1198.48,2.06,12.4,1.11,3305.41543,10.4,Mass,9.53,0.88,,,5.974,,,K0,5000,0.8,0.82,-0.09,-0.413,4.2,,2.29955,38.0473,8.96,6.78,8.705,Gas Giant
BD-00 4475 b,BD-00 4475,1,1,723.2,1.48,12,1.07,7961.6016,25.05,Msini,25.3,0.39,,,13.31,,,G0,5040,0.84,0.81,-0.14,-0.35,4.25,,2.0533,42.6402,9.01,6.996,8.78101,Gas Giant
BD-06 1339 b,BD-06 1339,1,2,3.8728,0.0428,2.85,0.254,8.5,0.027,Msini,2.02,0,,,,,,K7/M0 V,4324,0.69,0.7,-0.14,-1.022,4.74,4.4,2.747,20.2695,9.7,6.305,9.10677,Neptune-like
BD-06 1339 c,BD-06 1339,1,2,125.94,0.435,8.38,0.747,53,0.17,Msini,0.495,0.31,,,,,,K7/M0 V,4324,0.69,0.7,-0.14,-1.022,4.74,4.4,2.747,20.2695,9.7,6.305,9.10677,Gas Giant
BD-08 2823 b,BD-08 2823,1,2,5.6,0.06,3.61,0.322,12.7132,0.04,Msini,1.48,0.15,,,,,,K3 V,4816,0.71,0.5,-0.06,-0.626,4.43,4.5,3.31801,41.3342,9.86,7.323,9.50331,Neptune-like
BD-08 2823 c,BD-08 2823,1,2,237.6,0.68,12.5,1.11,104,0.33,Msini,0.293,0.19,,,,,,K3 V,4746,0.72,0.74,-0.07,-0.626,4.13,4.5,3.31801,41.3342,9.86,7.323,9.50331,Gas Giant
BD-10 3166 b,BD-10 3166,1,1,3.48777,0.04,14.1,1.26,187.5197,0.59,Msini,0.368,0.02,,,,,,K0 V,5393,0.91,1.47,0.38,-0.191,4.69,1,1.53276,84.4069,10.013,8.124,9.83981,Gas Giant
BD-11 4672 b,BD-11 4672,1,2,1634,2.36,14.1,1.25,206.5895,0.65,Msini,0.405,0.05,,,,,,K7 V,4550,0.64,0.65,-0.35,-0.804,4.64,7.4,3.53,27.1665,10.03,6.867,9.48511,Gas Giant
BD-11 4672 c,BD-11 4672,1,2,74.2,0.3,4.04,0.36,15.37,0.04836,Msini,1.28,0.4,,,,,,K7V,4550,0.64,0.65,-0.35,-0.804,4.64,7.4,3.53,27.1665,10.03,6.867,9.48511,Neptune-like
BD-13 2130 b,BD-13 2130,1,1,714.29999,1.66,12.5,1.11,3108.3774,9.78,Msini,8.75,0.21,,,,,,G5 IV/V,4545,19.17,2.12,-0.08,2.043,2.2,0.74,,925.214,10.038,7.151,9.69971,Gas Giant
BD-17 63 b,BD-17 63,1,1,655.6,1.34,12.8,1.15,1620.9,5.1,Msini,4.25,0.54,,,,,,K5 V,4714,0.69,0.74,-0.03,-0.678,4.26,4.3,2.75844,34.4603,9.62,6.914,9.20112,Gas Giant
BD-210397 b,BD-210397,1,2,1891,2.63,14,1.25,214,0.7,Msini,0.429,0.1,0.02,,,,,K7 V,4059,0.74,0.68,0.12,-0.87,4.67,6.2,2.23897,23.7324,9.84,6.504,9.25962,Gas Giant
BD-210397 c,BD-210397,1,2,6360,5.9,13.3,1.18,759,2.4,Msini,1.77,0.1,0,,,,,K7 V,4059,0.74,0.68,0.12,-0.87,4.67,6.2,2.23897,23.7324,9.84,6.504,9.25962,Gas Giant
CD Cet b,CD Cet,1,1,2.2907,0.0185,1.82,0.162,3.95,0.01243,Msini,3.6,,8.6,464,87.48,,,M5.0 V,3130,0.17,0.16,0.13,-2.533,4.93,3,30.35878,8.60715,13.95,7.833,12.1232,Super Earth
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.5,2.6,12.4,1.11,3337.1,10.5,Mass,9.62,,,370,,,,,580.5,,0.02,,,4.72,,,23.1,,,,Gas Giant
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000,200,20.849,1.86,2479.06157,7.8,Mass,1.5,,,1800,,,,M9-L1,2320,0.24,0.01,,-2.85,3.85,0.003,,,,14.593,,Gas Giant
CHXR 73 b,CHXR 73,1,1,,210,12.3,1.1,3994.486,12.569,Mass,11.8,,,,,,,M3.5,3099,,0.35,,,,0.002,,190.374,,10.703,17.2934,Gas Giant
CI Tau b,CI Tau,1,1,8.9891,,12.4,1.11,3686.828,11.6,Mass,10.6,0.25,,,50.5,,,K7,3807,1.88,0.9,,-0.108,,0.003,,157.998,13.642,7.793,12.1454,Gas Giant
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000,7506,12.442,1.11,2002.31896,6.3,Mass,5.71,,,434,,,,M3 V,3406,0.39,0.37,0,-1.732,4.83,0.475,9.13895,10.8864,11.298,6.579,10.146,Gas Giant
CT Cha b,CT Cha,1,1,,440,24.66,2.2,5403,17,Mass,1.98,,,2600,,,,K5e,4403,1.68,,-0.56,-0.102,3.66,0.002,,190.72,12.335,8.661,11.7733,Gas Giant
CoRoT-1 b,CoRoT-1,1,1,1.5089557,0.02752,16.7,1.49,327.35,1.03,Mass,0.38,0,2852.63,1898,85.1,4.92,0.1388,G0 V,5950,1.11,0.95,-0.3,0.298,4.25,1.6,0.93,787.909,13.623,12.149,13.457,Gas Giant
CoRoT-10 b,CoRoT-10,1,1,13.2406,0.1055,10.87,0.97,874,2.75,Mass,3.7,0.53,,600,88.55,31.33,0.1269,K1 V,5075,0.79,0.89,0.26,-0.726,4.65,3,3.32,338.386,15.293,11.782,14.6645,Gas Giant
CoRoT-11 b,CoRoT-11,1,1,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.99,0,,1657,83.17,6.89,0.107,F6 V,6440,1.37,1.27,-0.03,0.378,4.22,2,0.69,655.037,12.897,11.248,12.841,Gas Giant
CoRoT-12 b,CoRoT-12,1,1,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.411,0.07,661.13,1442,85.48,8.0972,0.1314,,5675,1.12,1.08,0.16,0.07,4.38,6.3,1.08,1126.37,15.588,13.557,15.3453,Gas Giant
CoRoT-13 b,CoRoT-13,1,1,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,2.34,0,546.53,1700,88.02,10.81,0.0909,G0 V,5945,1.01,1.09,0.01,0.073,4.46,1.635,1.468,1148.93,15.005,13.376,14.9147,Gas Giant
CoRoT-14 b,CoRoT-14,1,1,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,7.3,0,,1952,79.6,4.78,0.0925,F9 V,6035,1.21,1.13,0.05,0.119,4.35,4.2,0.91,1744.6,15.932,13.806,15.8116,Gas Giant
CoRoT-16 b,CoRoT-16,1,1,5.35227,0.0618,13.11,1.17,170.032,0.535,Mass,0.44,0.33,,,85.01,11.2,0.101,G5 V,5650,1.19,1.1,0.19,-0.435,4.36,6.73,0.93,732.409,16.052,12.847,15.6507,Gas Giant
CoRoT-17 b,CoRoT-17,1,1,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,2.82,0,,1626,88.34,6.23,,G2 V,5740,1.59,1.04,0,0.134,4.4,10.7,0.32,1176.12,16.29,12.472,15.4368,Gas Giant
CoRoT-18 b,CoRoT-18,1,1,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,2.2,0.08,823.7,1550,86.5,6.35,0.1341,G9 V,5440,1,0.95,-0.1,-0.17,4.4,0.032,1.35,764.889,14.868,13.014,14.8009,Gas Giant
CoRoT-19 b,CoRoT-19,1,1,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.71,0.047,1103.81,2000,88,6.7,0.0786,F9 V,6090,1.65,1.21,-0.02,0.544,4.07,5,0.38,790.663,14.135,11.837,13.7831,Gas Giant
CoRoT-2 b,CoRoT-2,2,1,1.7429935,0.02798,16.432,1.466,1102.82,3.47,Mass,1.47,0.0143,932.91,1521,88.08,6.7659,0.1682,,5625,0.91,0.96,0.04,-0.131,4.53,2.7,1.814,213.283,12.516,10.31,12.2489,Gas Giant
CoRoT-20 b,CoRoT-20,1,2,9.24285,0.09,9.416,0.84,1366.669,4.3,Mass,8.87,0.59,180.87,1024,88.21,18.95,0.0842,G2 V,5880,1.02,1.14,0.14,0.17,4.35,0.1,1.51,844.061,14.63,12.513,14.4686,Gas Giant
CoRoT-20 c,CoRoT-20,1,2,1675,2.9,12.2,1.09,5403.11,17,Msini,16.4,0.6,,,,,,G2 V,4947.5,1.37,1.14,0.14,0.006,4.35,0.1,1.51,844.061,14.63,12.513,14.4686,Gas Giant
CoRoT-21 b,CoRoT-21,1,1,2.72474,0.0417,14.572,1.3,718.2958,2.26,Mass,1.36,0,,,86.8,4.6,0.067,F8 IV,6200,1.95,1.29,0,0.705,3.7,4.1,0.255,1398.834197,16.058,13.813,15.8558,Gas Giant
CoRoT-22 b,CoRoT-22,1,1,9.75598,0.092,4.88,0.435,12.2,0.038,Mass,0.249,0.077,,885,89.749,17.3,0.03927,G3 V,5939,1.14,1.1,0.17,0.014,4.36,3.3,1.027,627.158,13.82,11.988,13.7305,Neptune-like
CoRoT-23 b,CoRoT-23,1,1,3.6313,0.048,11.77,1.05,889.9,2.8,Mass,3,0.16,,1660,85.7,6.85,0.0671,G0 V,5900,1.61,1.14,0.05,0.087,4.3,7.2,0.5,1060.97,15.675,12.364,15.0681,Gas Giant
CoRoT-24 b,CoRoT-24,1,2,5.1134,0.056,3.7,0.33,5.7,0.018,Mass,0.9,0,,1070,86.5,10.9,0.037,K1 V,4950,0.86,0.91,0.3,-0.601,4.55,11,1.94863,591.555,15.383,12.924,15.1801,Neptune-like
CoRoT-24 c,CoRoT-24,1,2,11.759,0.098,5,0.44,28,0.088,Mass,1.3,0,,850,89,18,0.05,K1 V,4950,0.86,0.91,0.3,-0.601,4.55,11,1.94863,591.555,15.383,12.924,15.1801,Neptune-like
CoRoT-25 b,CoRoT-25,1,1,4.86069,0.0578,12.11,1.08,85.81,0.27,Mass,0.15,0,,1330,84.5,10.2,0.085,F9,6040,1.19,1.09,-0.01,0.141,4.31,4.5,0.64637,1103.48,14.79,12.846,14.711,Gas Giant
CoRoT-26 b,CoRoT-26,1,1,4.20474,0.0526,14.12,1.26,165.26,0.52,Mass,0.28,0,,1600,86.8,6.28,0.0718,G5,5590,1.79,1.09,0.01,0.451,3.99,8.6,,1045.18,15.861,13.261,15.4682,Gas Giant
CoRoT-27 b,CoRoT-27,1,1,3.57532,0.0476,11.287,1.007,3302.11,10.39,Mass,12.6,0.065,,1500,86.7,9.48,0.099,G2,5900,1.08,1.05,-0.1,-0.166,4.4,4.21,1.24,1010.28,15.774,12.985,15.3902,Gas Giant
CoRoT-28 b,CoRoT-28,1,1,5.20851,0.0603,10.705,0.955,153.82972,0.484,Mass,0.69,0.047,,,88.1,7.29,0.0551,G8/9 IV,5150,1.78,1.01,0.15,0.388,3.6,12,0.27,766.183,13.783,11.032,13.4119,Gas Giant
CoRoT-29 b,CoRoT-29,1,1,2.85057,0.0386,10.088,0.9,270.1555,0.85,Mass,1.45,0.082,,,87.3,9.22,0.1028,K0 V,5260,0.9,0.97,0.2,-0.094,4.3,4.5,1.825,806.507,15.408,13.048,15.2394,Gas Giant
CoRoT-3 b,CoRoT-3,1,1,4.2568,0.05783,11.32,1.01,6883.91,21.66,Mass,26.4,0,,1695,85.9,7.8,0.0663,F3 V,6740,1.56,1.37,0.14,0.391,4.22,2.2,0.431,768.771,13.448,11.618,13.2188,Gas Giant
CoRoT-30 b,CoRoT-30,1,1,9.06005,0.0844,11.31,1.009,921.707,2.9,Mass,3.45,0.007,,,90,21,0.114,G3 V,5650,0.91,0.98,0.02,-0.197,4.4,3,1.54162,1032.23,15.571,13.562,15.413,Gas Giant
CoRoT-31 b,CoRoT-31,1,1,4.62941,0.0586,16.365,1.46,266.9772,0.84,Mass,0.33,0.02,,,83.2,7.2,0.0699,G2 IV,5700,2.15,1.25,0,0.398,3.85,4.7,0.1518,2005.76,15.479,13.426,15.4655,Gas Giant
CoRoT-35 b,CoRoT-35,1,1,3.22748,0.0429,18.831,1.68,349.61125,1.1,Mass,0.29,0,,1747,84.1,,,F6 V,6390,1.65,1.01,-0.5,0.362,4.01,6.1,0.44716,1123.21,15.635,12.935,15.2625,Gas Giant
CoRoT-36 b,CoRoT-36,1,1,5.616531,0.066,15.805,1.41,216.12332,0.68,Mass,0.25,0,,1567,85.83,,,F3 V,6730,1.52,1.32,-0.1,0.813,4.16,2.1,0.23732,925.958,13.126,11.592,12.9515,Gas Giant
